# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-03-11T07:57:02   112751  SEQ        Calibration  Cal         RX-Boo                    2024-S1-MX-20                   86.2434     0       5.0  216.048434  25.703717   69.9  65.1  239.76 0
2024-03-11T07:57:36   112752  SEQ        Pointing     Map(Az/D)   RX-Boo                    2024-S1-MX-20                   86.2434     0     148.2  216.048434  25.703717   69.4  66.2  239.76 0
2024-03-11T08:04:24   112753  SEQ        Calibration  Cal         RX-Boo                    2024-S1-MX-20                   86.2434     0       5.8  216.048434  25.703717   68.6  67.7  239.76 0
2024-03-11T08:04:58   112754  SEQ        Pointing     Map(Az/D)   RX-Boo                    2024-S1-MX-20                   86.2434     0     146.2  216.048434  25.703717   68.5  67.8  239.76 0
2024-03-11T08:10:24   112755  SEQ        Calibration  Cal         NGC5347                   2024-S1-MX-20                  115.2700  2368       5.0  208.324292  33.490833   38.2  71.0  180 0
2024-03-11T08:10:58   112756  SEQ        Science      Map(Az/C)   NGC5347                   2024-S1-MX-20                  115.2700  2368     346.0  208.324292  33.490833   37.7  71.1  180 0
2024-03-11T08:20:44   112757  SEQ        Calibration  Cal         NGC5347                   2024-S1-MX-20                  115.2700  2368       5.1  208.324292  33.490833   32.8  72.4  180 0
2024-03-11T08:21:19   112758  SEQ        Science      Map(Az/C)   NGC5347                   2024-S1-MX-20                  115.2700  2368     345.6  208.324292  33.490833   32.4  72.5  180 0
2024-03-11T08:31:09   112759  SEQ        Calibration  Cal         NGC5347                   2024-S1-MX-20                  115.2700  2368       5.2  208.324292  33.490833   26.6  73.7  180 0
2024-03-11T08:31:43   112760  SEQ        Science      Map(Az/C)   NGC5347                   2024-S1-MX-20                  115.2700  2368     346.8  208.324292  33.490833   26.1  73.7  180 0
2024-03-11T08:41:33   112761  SEQ        Calibration  Cal         NGC5347                   2024-S1-MX-20                  115.2700  2368       5.6  208.324292  33.490833   19.4  74.6  180 0
2024-03-11T08:42:08   112762  SEQ        Science      Map(Az/C)   NGC5347                   2024-S1-MX-20                  115.2700  2368     348.1  208.324292  33.490833   18.9  74.7  180 0
